,lat,lon,speed,u10,v10,dir
64557,89.5,-63.0,1.338553,0.27798828,-0.684084,157.88486
64558,89.5,-62.0,1.3385377,0.26700413,-0.68920565,158.82321
64559,89.5,-61.0,1.3393987,0.25586534,-0.6944923,159.77515
64560,89.5,-60.0,1.3402942,0.24472658,-0.6999442,160.72847
64561,89.5,-59.0,1.3418509,0.23374243,-0.70506567,161.65868
64562,89.5,-58.0,1.3440633,0.22244887,-0.7106827,162.6195
64563,89.5,-57.0,1.3433104,0.21239305,-0.7138217,163.42996
64564,89.5,-56.0,1.3397814,0.19970722,-0.7159694,164.41447
64565,89.5,-55.0,1.3368863,0.18671186,-0.7182822,165.4289
64566,89.5,-54.0,1.3343388,0.17371659,-0.7207605,166.4491
64567,89.5,-53.0,1.3321906,0.16072135,-0.7229082,167.46552
64568,89.5,-52.0,1.3307118,0.14772613,-0.7253864,168.48903
64569,89.5,-51.0,1.3298407,0.13457604,-0.72786444,169.52478
64570,89.5,-50.0,1.32953,0.12127141,-0.7305078,170.5743
64571,89.5,-49.0,1.3295722,0.10827611,-0.73282075,171.59521
64572,89.5,-48.0,1.3305153,0.094816744,-0.7354639,172.65388
64573,89.5,-47.0,1.3320643,0.081512034,-0.7382725,173.69954
64574,89.5,-46.0,1.3339548,0.06820742,-0.74075073,174.7391
64575,89.5,-45.0,1.3363494,0.054747958,-0.7433941,175.788
64576,89.5,-44.0,1.3396034,0.04144329,-0.7460375,176.8204
64577,89.5,-43.0,1.3417069,0.029995063,-0.74785465,177.70319
64578,89.5,-42.0,1.338549,0.0154527025,-0.7462027,178.81366
64579,89.5,-41.0,1.3357047,0.00075568754,-0.74471587,179.94185
64580,89.5,-40.0,1.3340497,-0.013941308,-0.7437246,181.07391
64581,89.5,-39.0,1.3326108,-0.028328916,-0.7420725,182.18623
64582,89.5,-38.0,1.3318628,-0.04302599,-0.740916,183.32352
64583,89.5,-37.0,1.3319082,-0.058032434,-0.73942906,184.48755
64584,89.5,-36.0,1.3321707,-0.0728842,-0.73810744,185.63937
64585,89.5,-35.0,1.3333234,-0.08773589,-0.7369509,186.78926
64586,89.5,-34.0,1.3350773,-0.102742374,-0.7352989,187.95438
64587,89.5,-33.0,1.3376255,-0.1175941,-0.73447275,189.09625
64588,89.5,-32.0,1.3406115,-0.13244589,-0.7328207,190.24474
64589,89.5,-31.0,1.3442316,-0.14729764,-0.7319947,191.37756
64590,89.5,-30.0,1.3485746,-0.16276814,-0.73083824,192.55568
64591,89.5,-29.0,1.3533497,-0.17622755,-0.72984695,193.5747
64592,89.5,-28.0,1.3534571,-0.18690227,-0.7262123,194.43277
64593,89.5,-27.0,1.3517588,-0.20067108,-0.7205952,195.56143
64594,89.5,-26.0,1.3511459,-0.21428518,-0.7153086,196.67665
64595,89.5,-25.0,1.3507489,-0.22789931,-0.70969135,197.8031
64596,89.5,-24.0,1.3509979,-0.24166803,-0.7040744,198.94438
64597,89.5,-23.0,1.3523144,-0.2555916,-0.6987877,200.09073
64598,89.5,-22.0,1.3535799,-0.26936033,-0.69317055,201.23572
64599,89.5,-21.0,1.3564143,-0.2834386,-0.68788385,202.39383
